date,close,open,maximo,minimo,variacion,anterior,predictions
2000-06-05,521.45,519.8,521.45,519.5,0.0039000000000000003,519.45,518.7024915209037
2000-06-06,523.35,522.2,523.65,521.9,0.0036,521.45,520.9534627832146
2000-06-07,525.45,524.05,525.9,523.3,0.004,523.35,525.5971779708899
2000-06-08,527.25,525.25,527.7,524.7,0.0034000000000000002,525.45,524.8617176359857
2000-06-09,528.65,527.1,530.15,527.1,0.0027,527.25,527.339383849182
2000-06-12,530.45,529.05,531.55,528.8,0.0034000000000000002,528.65,530.8746228956886
2000-06-13,532.35,530.8,533.9,530.7,0.0036,530.45,530.8458207195076
2000-06-14,530.55,531.4,531.85,529.5,-0.0034000000000000002,532.35,535.0384039742909
2000-06-15,532.05,530.45,532.45,530.1,0.0028000000000000004,530.55,529.5436334831984
2000-06-16,530.85,532.3,533.95,530.6,-0.0023,532.05,532.5683954657922
2000-06-20,531.35,530.7,532.05,530.5,0.0009,530.85,531.8417976770655
2000-06-21,533.25,531.7,534.45,531.35,0.0036,531.35,532.0060989174962
2000-06-22,534.55,532.9,535.1,532.9,0.0024,533.25,532.6954588277557
2000-06-23,536.85,537.4,538.25,536.3,0.0043,534.55,535.8507608856883
2000-06-26,536.85,536.7,536.85,536.7,0.0,536.85,536.8917212242679
2000-06-27,536.05,537.4,538.55,535.05,-0.0015,536.85,538.4091640590048
2000-06-28,537.05,535.1,537.55,534.9,0.0019,536.05,536.6312743319506
2000-06-29,538.55,537.35,539.4,535.3,0.0028000000000000004,537.05,535.2620023633324
2000-06-30,539.75,538.9,540.05,537.25,0.0022,538.55,540.6185306162897
2000-07-03,535.55,538.1,538.25,535.2,-0.0078000000000000005,539.75,537.8768113829863
2000-07-04,534.05,534.8,535.05,531.4,-0.0028000000000000004,535.55,534.1762808300759
2000-07-05,535.55,534.0,535.95,534.0,0.0028000000000000004,534.05,535.5329638999015
2000-07-06,536.85,536.95,538.15,536.5,0.0024,535.55,538.9906497628032
2000-07-07,535.85,535.9,536.7,535.0,-0.0019,536.85,538.4217462372483
2000-07-10,534.45,536.8,537.05,534.25,-0.0026,535.85,533.0734684629854
2000-07-11,536.15,534.3,536.3,533.3,0.0032,534.45,533.4865774904251
2000-07-12,538.05,535.6,538.25,534.6,0.0034999999999999996,536.15,538.0277768893031
2000-07-13,540.6,537.9,541.05,537.5,0.004699999999999999,538.05,539.3570755096366
2000-07-14,543.05,541.8,543.55,541.5,0.0045000000000000005,540.6,541.4785727399125
2000-07-17,541.85,542.7,542.95,541.6,-0.0022,543.05,540.4642477645041
2000-07-18,545.6,541.5,546.2,541.5,0.0069,541.85,542.397319456258
2000-07-19,545.95,547.9,548.95,545.7,0.0006,545.6,549.1604024342673
2000-07-20,545.25,546.4,546.95,544.2,-0.0013,545.95,546.6464817657966
2000-07-21,546.05,546.4,546.75,544.5,0.0015,545.25,546.905405899556
2000-07-24,549.55,546.5,549.65,546.0,0.0064,546.05,544.2904496590229
2000-07-25,550.15,551.5,551.85,549.6,0.0011,549.55,555.1760966919788
2000-07-26,556.15,551.5,556.45,551.5,0.0109,550.15,549.2887772058143
2000-07-27,553.35,556.4,556.65,552.7,-0.005,556.15,555.9706684329847
2000-07-28,557.65,554.6,557.9,554.2,0.0078000000000000005,553.35,555.9355223610861
2000-07-31,555.55,557.9,558.45,555.2,-0.0038,557.65,557.1505088673681
2000-08-01,553.15,554.7,555.25,552.2,-0.0043,555.55,558.383708160929
2000-08-02,549.25,553.4,553.55,548.85,-0.0070999999999999995,553.15,555.7612211969855
2000-08-03,552.35,552.1,553.55,549.6,0.005600000000000001,549.25,550.6891165482897
2000-08-04,555.05,554.2,556.15,553.3,0.0049,552.35,552.5858405392798
2000-08-07,555.25,554.9,556.7,554.6,0.0004,555.05,554.9769232625707
2000-08-08,552.85,555.1,555.25,552.1,-0.0043,555.25,553.8877907194486
2000-08-09,553.05,552.7,553.55,551.1,0.0004,552.85,554.3821159451353
2000-08-10,551.35,553.0,553.55,550.7,-0.0031,553.05,553.0011874359141
2000-08-11,547.65,551.2,551.85,547.0,-0.0067,551.35,554.5318491623813
2000-08-14,544.25,547.5,548.15,541.6,-0.0062,547.65,547.3089004806246
2000-08-16,545.95,544.1,545.95,543.2,0.0031,544.25,543.3579999193083
2000-08-17,546.15,545.9,546.95,544.85,0.0004,545.95,545.8040860722632
2000-08-18,549.45,546.0,549.75,546.0,0.006,546.15,545.4106075561011
2000-08-21,547.85,549.4,552.35,547.3,-0.0029,549.45,551.9628749439406
2000-08-22,546.15,547.7,549.95,545.0,-0.0031,547.85,548.304729998744
2000-08-23,545.95,546.0,546.95,543.5,-0.0004,546.15,545.2102215436844
2000-08-24,546.85,545.75,547.55,545.6,0.0016,545.95,547.9972951712568
2000-08-25,546.45,546.6,548.85,546.0,-0.0007000000000000001,546.85,546.1923412623859
2000-08-28,545.15,546.0,546.6,544.8,-0.0024,546.45,547.9393645517459
2000-08-29,558.45,558.1,559.95,556.9,0.024399999999999998,545.15,543.124717007573
2000-08-30,561.6,558.5,565.25,558.5,0.005600000000000001,558.45,556.3982331698603
2000-08-31,562.05,561.5,564.05,560.7,0.0008,561.6,562.7319117233671
2000-09-01,564.25,561.9,564.5,560.7,0.0039000000000000003,562.05,562.883401604581
2000-09-04,564.25,564.1,564.25,564.1,0.0,564.25,562.8588373408439
2000-09-05,568.55,565.5,569.25,565.5,0.0076,564.25,572.0366282779272
2000-09-06,569.15,568.4,571.85,567.2,0.0011,568.55,569.6829637272541
2000-09-07,569.15,569.0,572.15,568.1,0.0,569.15,570.7023955259231
2000-09-08,568.15,569.0,569.15,566.2,-0.0018,569.15,570.6961588412054
2000-09-11,566.05,568.0,568.15,565.5,-0.0037,568.15,567.0843671891063
2000-09-12,565.65,565.9,566.65,564.4,-0.0007000000000000001,566.05,568.4484253843619
2000-09-13,563.45,565.5,566.6,563.3,-0.0039000000000000003,565.65,565.7683386147888
2000-09-14,560.25,563.3,563.45,559.25,-0.005699999999999999,563.45,563.1705787854522
2000-09-15,563.75,563.1,563.75,560.1,0.0062,560.25,558.9999010901926
2000-09-18,563.75,563.5,563.75,563.5,0.0,563.75,563.5438731416689
2000-09-20,569.55,567.3,570.75,566.8,0.0103,563.75,564.7735382006364
2000-09-21,567.75,569.4,570.35,567.3,-0.0032,569.55,570.9355747594303
2000-09-22,565.45,567.6,570.55,564.8,-0.0040999999999999995,567.75,567.3930630859461
2000-09-25,563.05,565.3,565.45,560.6,-0.0042,565.45,565.3190859818841
2000-09-26,566.85,563.45,568.65,562.6,0.0067,563.05,560.6555648114365
2000-09-27,566.85,566.7,569.55,566.2,0.0,566.85,572.7346826436891
2000-09-28,563.35,566.6,567.95,563.0,-0.0062,566.85,566.2771614979384
2000-09-29,563.75,563.2,564.15,562.2,0.0007000000000000001,563.35,561.1719948875865
2000-10-02,562.25,563.3,564.55,560.5,-0.0027,563.75,563.9261750614512
2000-10-03,560.95,562.0,562.15,559.1,-0.0023,562.25,564.1681142237906
2000-10-04,560.15,560.9,562.75,558.6,-0.0014000000000000002,560.95,562.9436235952654
2000-10-05,558.75,560.0,560.15,557.35,-0.0025,560.15,556.4529317384472
2000-10-06,562.05,558.0,562.45,557.4,0.0059,558.75,556.6121260332304
2000-10-09,562.15,561.8,562.15,561.8,0.0002,562.05,560.9793958770007
2000-10-10,564.85,561.7,565.25,561.4,0.0048,562.15,562.3415253565298
2000-10-11,564.45,566.2,566.65,563.4,-0.0007000000000000001,564.85,565.7854918298017
2000-10-12,566.95,563.5,568.85,563.5,0.0044,564.45,562.1977274814603
2000-10-13,568.45,568.1,569.65,567.2,0.0026,566.95,566.2607462751415
2000-10-16,567.55,567.0,567.95,565.6,-0.0016,568.45,567.5809598909087
2000-10-17,569.15,566.0,569.45,565.6,0.0028000000000000004,567.55,568.1400601988139
2000-10-18,570.65,572.3,573.55,569.75,0.0026,569.15,570.3220530229928
2000-10-19,570.15,569.5,570.5,567.8,-0.0009,570.65,569.9729933768496
2000-10-20,570.75,570.6,573.0,569.9,0.0011,570.15,571.447033910012
2000-10-23,573.25,572.1,573.25,571.6,0.0044,570.75,569.5294733854307
2000-10-24,573.15,574.2,574.55,572.6,-0.0002,573.25,574.9106134464897
